588 000 zł,3 pokoje,67.27 m²,https://www.otodom.pl/pl/oferta/przestronne-67m2-po-remoncie-z-wyposazeniem-ID4yxYw,‼️⭐Przestronne 67m2. Po remoncie z wyposażeniem‼️⭐,"ul. Zakładowa, Olechów, Widzew, Łódź, łódzkie"
890 000 zł,5 pokoi,128.73 m²,https://www.otodom.pl/pl/oferta/dwupoziomowe-z-bezposrednim-widokiem-na-park-ID4z2Zh,"Dwupoziomowe, Z BEZPOŚREDNIM WIDOKIEM NA PARK.","Złotno, Polesie, Łódź, łódzkie"
od 10 354 zł/m²,1 kwartał 2025,1-4 pokoje,https://www.otodom.pl/pl/oferta/biala-kamienica-ID4ub8v,Biała Kamienica,"ul. płk. dr. Stanisława Więckowskiego, Centrum, Śródmieście, Łódź, łódzkie"
409 000 zł,2 pokoje,43.77 m²,https://www.otodom.pl/pl/oferta/m3-po-remoncie-2-pokoje-oddzielna-kuchnia-zubardz-zabieniec-ID4ypDR,M3 po remoncie 2 pokoje oddzielna kuchnia Żubardź Żabieniec,"ul. Jana Woronicza, Żabieniec, Bałuty, Łódź, łódzkie"
265 000 zł,1 pokój,33 m²,https://www.otodom.pl/pl/oferta/kawalerka-33m2-z-antresola-ok-18m2-srodmiescie-ul-struga-35-ID4yQe2,Kawalerka 33m2 z antresolą ok. 18m2 Śródmieście ul. Struga 35,"ul. Andrzeja Struga, Stare Polesie, Polesie, Łódź, łódzkie"
479 000 zł,3 pokoje,64 m²,https://www.otodom.pl/pl/oferta/3-pokoje-radogoszcz-wschod-balkon-loggia-1-pietro-w-bloku-ID4yQfv,3 pokoje Radogoszcz Wschód balkon loggia 1 pietro w bloku,"ul. Pstrągowa, Radogoszcz, Bałuty, Łódź, łódzkie"
od 9800 zł/m²,3 kwartał 2026,2-6 pokoi,https://www.otodom.pl/pl/oferta/pryncypalna-66-ID4yzL7,Pryncypalna 66,"ul. Pryncypalna, Stare Chojny, Górna, Łódź, łódzkie"
458 000 zł,2 pokoje,52 m²,https://www.otodom.pl/pl/oferta/bezposrednio-52-m2-2-pokoje-lodz-gorna-ul-granitowa-do-zamieszkania-ID4zceZ,"Bezpośrednio 52 m2, 2 pokoje Łódź-Górna, ul. Granitowa-do zamieszkania","ul. Granitowa, Kurak, Górna, Łódź, łódzkie"
330 000 zł,2 pokoje,42.98 m²,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-z-balkonem-na-9-pietrze-ul-kochanowskiego-1-3-ID4z7Wi,2 pokojowe mieszkanie z balkonem na 9 piętrze - ul. Kochanowskiego 1/3,"ul. Jana Kochanowskiego, Stare Bałuty, Bałuty, Łódź, łódzkie"
519 000 zł,2 pokoje,40.11 m²,https://www.otodom.pl/pl/oferta/wykonczone-2-pokojowe-mieszkanie-traktorowa-24-ii-pietro-ID4yFyC,Wykończone 2-pokojowe mieszkanie| Traktorowa 24 | II piętro,"ul. Traktorowa, Teofilów Przemysłowy, Bałuty, Łódź, łódzkie"
Zapytaj o cenę,2 pokoje,35.06 m²,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-loggia-bez-prowizji-ID4xv0O,2-pokojowe mieszkanie 35m2 + loggia Bez Prowizji,"ul. Targowa, Fabryczna Widzew, Widzew, Łódź, łódzkie"
Zapytaj o cenę,2 pokoje,40.25 m²,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-balkon-ID4vIiR,2-pokojowe mieszkanie 40m2 + balkon,"ul. Mała, Stare Polesie, Polesie, Łódź, łódzkie"
377 748 zł,2 pokoje,44.97 m²,https://www.otodom.pl/pl/oferta/przedsprzedaz-8400zl-m2-45m2-oferta-black-zadzwon-ID4yS5I,Przedsprzedaż.8400zł/m2 45m2 Oferta Black% Zadzwoń,"ul. św. Brata Alberta Chmielowskiego, Widzew Wschód, Widzew, Łódź, łódzkie"
490 000 zł,2 pokoje,45 m²,https://www.otodom.pl/pl/oferta/atrakcyjnem3-w-apartamentowcu-widzew-stoki-ul-rysy-blisko-ckd-ID4zcdt,"AtrakcyjneM3 w Apartamentowcu Widzew-Stoki,ul.Rysy,blisko CKD","ul. Rysy, Stoki, Widzew, Łódź, łódzkie"
od 8995 zł/m²,2 kwartał 2027,1-5 pokoi,https://www.otodom.pl/pl/oferta/artepolis-ID4xjx8,Artepolis,"ul. Naftowa, Stare Polesie, Polesie, Łódź, łódzkie"
Zapytaj o cenę,1 kwartał 2026,1-4 pokoje,https://www.otodom.pl/pl/oferta/now-dowborczykow-18-ID4uia2,Now. Dowborczyków 18,"ul. Dowborczyków, Fabryczna Widzew, Widzew, Łódź, łódzkie"
od 9800 zł/m²,3 kwartał 2026,1-5 pokoi,https://www.otodom.pl/pl/oferta/lipowa-43-ID4wgRo,Lipowa 43,"ul. 6 Sierpnia, Stare Polesie, Polesie, Łódź, łódzkie"
